# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.36000E+02  1.04200E+03  1.16500E+03  8.02945E-02  4.29703E-02  7.57667E-02  4.52779E-03  2.76790E+04  6.60000E+01
  4.44000E+02  8.01000E+02  1.11800E+03  4.99697E-02  2.26178E-02  4.76619E-02  2.30774E-03  1.63080E+04  3.00000E+01
  4.52000E+02  4.43000E+02  1.05400E+03  2.35643E-02  9.26247E-03  2.24190E-02  1.14529E-03  7.41300E+03  1.40000E+01
  4.60000E+02  1.97000E+02  1.02700E+03  8.07430E-03  2.54928E-03  7.84981E-03  2.24490E-04  2.36600E+03  3.00000E+00
  4.68000E+02  3.90000E+01  8.93000E+02  1.01234E-03  2.92463E-04  1.01234E-03  0.00000E+00  3.56000E+02  0.00000E+00
  4.76000E+02  2.00000E+00  9.47000E+02  4.95575E-05  1.32669E-05  4.95575E-05  0.00000E+00  1.60000E+01  0.00000E+00
  4.84000E+02  0.00000E+00  9.46000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.92000E+02  0.00000E+00  8.54000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.00000E+02  0.00000E+00  8.48000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.08000E+02  0.00000E+00  8.12000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.16000E+02  0.00000E+00  7.86000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
