# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100       1000000.     4000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  3.56000E+02  9.40300E+03  1.01080E+04  8.13277E+00  2.53966E+01  4.86029E+00  3.27248E+00  6.31312E+06  4.84087E+04
  3.64000E+02  1.03950E+04  1.06780E+04  9.27705E+00  2.67373E+01  5.60107E+00  3.67598E+00  6.79366E+06  5.50566E+04
  3.72000E+02  1.19990E+04  1.07280E+04  9.16878E+00  2.41347E+01  5.74907E+00  3.41971E+00  6.66390E+06  5.20216E+04
  3.80000E+02  1.38190E+04  1.15370E+04  9.02694E+00  2.16009E+01  5.68133E+00  3.34561E+00  6.03686E+06  5.16559E+04
  3.88000E+02  1.66280E+04  1.17760E+04  9.75439E+00  2.02749E+01  6.10056E+00  3.65382E+00  6.01982E+06  5.70745E+04
  3.96000E+02  2.04670E+04  1.20090E+04  1.14381E+01  2.20186E+01  7.30770E+00  4.13035E+00  6.60902E+06  6.53556E+04
  4.04000E+02  2.51600E+04  1.25710E+04  1.05860E+01  1.75724E+01  6.78192E+00  3.80411E+00  5.74279E+06  6.13952E+04
  4.12000E+02  3.12680E+04  1.24410E+04  1.11250E+01  1.58012E+01  7.11226E+00  4.01278E+00  5.45926E+06  6.57139E+04
  4.20000E+02  3.72850E+04  1.24800E+04  1.23330E+01  1.58251E+01  7.80187E+00  4.53112E+00  5.54492E+06  7.51079E+04
  4.28000E+02  4.20800E+04  1.23470E+04  1.15569E+01  1.36655E+01  7.60905E+00  3.94783E+00  5.23762E+06  6.64412E+04
  4.36000E+02  4.46480E+04  1.19420E+04  1.06042E+01  1.08185E+01  7.00442E+00  3.59975E+00  4.40475E+06  6.11361E+04
  4.44000E+02  4.65100E+04  1.11730E+04  1.03413E+01  9.48305E+00  6.78631E+00  3.55499E+00  4.03580E+06  6.09436E+04
  4.52000E+02  5.08270E+04  1.01330E+04  1.06966E+01  8.82596E+00  7.18467E+00  3.51191E+00  3.85939E+06  6.10742E+04
  4.60000E+02  5.36160E+04  8.99500E+03  8.98268E+00  6.02816E+00  6.06991E+00  2.91277E+00  3.07137E+06  5.13138E+04
  4.68000E+02  5.64710E+04  7.54100E+03  8.08199E+00  4.59156E+00  5.48328E+00  2.59871E+00  2.46460E+06  4.63161E+04
  4.76000E+02  5.51770E+04  6.32700E+03  7.03942E+00  3.34949E+00  4.80285E+00  2.23657E+00  1.91935E+06  4.07231E+04
  4.84000E+02  4.66630E+04  5.06200E+03  4.31228E+00  1.77662E+00  3.13322E+00  1.17906E+00  1.21149E+06  2.15462E+04
  4.92000E+02  2.88160E+04  4.28800E+03  2.00189E+00  7.10180E-01  1.53294E+00  4.68955E-01  5.35613E+05  8.58800E+03
  5.00000E+02  1.09810E+04  3.72900E+03  5.64073E-01  1.82414E-01  4.65707E-01  9.83657E-02  1.54527E+05  1.63900E+03
  5.08000E+02  1.81600E+03  3.53600E+03  5.94844E-02  1.98273E-02  5.68258E-02  2.65856E-03  2.07900E+04  2.30000E+01
  5.16000E+02  9.10000E+01  3.21800E+03  1.90941E-03  5.93453E-04  1.90941E-03  0.00000E+00  7.60000E+02  0.00000E+00
  5.24000E+02  3.00000E+00  3.06800E+03  1.73961E-05  6.17327E-06  1.73961E-05  0.00000E+00  1.20000E+01  0.00000E+00
  5.32000E+02  0.00000E+00  3.00100E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.40000E+02  0.00000E+00  2.89700E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.48000E+02  0.00000E+00  2.63100E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.56000E+02  0.00000E+00  2.62200E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.64000E+02  0.00000E+00  2.60500E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.72000E+02  0.00000E+00  2.55100E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.80000E+02  0.00000E+00  2.59100E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.88000E+02  0.00000E+00  2.46000E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
